NRPD,POIT,MTPD,DSMT,13MT,14MT,CPIT,UMIT,PNIT,PBIT,VOIT,VLIT,MOIT,PLIT,CEIT,FEIT,STIP,ENIT,POEN,FEEN,HREN,CPEN,CTEN,STIT,BQEN,DSBQ,BQFA,DSBF,MTEN,DSEN,13EN,14EN,CPCP,SHID,HSID,CCEN,FECE,HRCE,CPCE,PNCC,PBCC,VOCC,PLCC,ENPG,PGFE,PGHR,PGUS,CDEN,ENRE,REFE,REHR,REUS,ENFA,ENFE,FATY,FAFE,FAHR,FAUS,CTFA,PNFA,PBFA,VOFA,VLFA,PLFA
2394979,10,110A96721,NOISETTE 10X1KG,,,5,CS,50,53.15,,16732.27,ARS,0.07,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,5,,,,50,53.15,,0.07,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,20,110A77451,CORTE TRADICIONAL 12X1KG,,,2,CS,24,25.3,,16732.27,ARS,0.03,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,2,,,,24,25.3,,0.03,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,30,110A21991,GOLDEN LONGS 12X1KG,,,2,CS,24,25.52,,16732.27,ARS,0.03,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,2,,,,24,25.52,,0.03,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,40,110A23121,HORNEABLES 12X720G,,,2,CS,17.28,18.54,,16732.27,ARS,0.03,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,2,,,,17.28,18.54,,0.03,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,50,110A27631,NOISETTE 18X500G,,,3,CS,27,28.8,,16732.27,ARS,0.04,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,3,,,,27,28.8,,0.04,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,60,110A31091,CORTE TRADICIONAL 12X720G,,,3,CS,25.92,27.78,,16732.27,ARS,0.03,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,3,,,,25.92,27.78,,0.03,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,70,110A71091,"CORTE TRADICIONAL 10X1,5KG",,,3,CS,45,47.37,,16732.27,ARS,0.05,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,3,,,,45,47.37,,0.05,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,80,110A47331,SMILES 12X600G,,,6,CS,43.2,46.92,,16732.27,ARS,0.06,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,6,,,,43.2,46.92,,0.06,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,90,129MZ1101,FANATICA - MOZZARELLA 12X450G,,,1,CS,5.4,5.778,,16732.27,ARS,0.01,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,1,,,,5.4,5.778,,0.01,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,100,110B29751,BATATA 12X720G,,,2,CS,17.28,19.52,,16732.27,ARS,0.02,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,2,,,,17.28,19.52,,0.02,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,110,112353011,NOISETTE FINAS HIERBAS 18X500G,,,1,CS,9,9.6,,16732.27,ARS,0.01,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,1,,,,9,9.6,,0.01,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,120,112352811,NOISETTE JAMON Y QUESO 18X500G,,,1,CS,9,9.6,,16732.27,ARS,0.01,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,0,,,,0,0,,0,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,130,111564231,HOME FRIES - ESTILO CASERO 12 X 1 KG,,,3,CS,36,38.04,,16732.27,ARS,0.05,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,3,,,,36,38.04,,0.05,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,140,1000002579,BASTONCITOS DE MOZZARELLA 18 X 0.30KG,,,2,CS,10.8,11.74,,16732.27,ARS,0.02,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,2,,,,10.8,11.74,,0.02,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,150,1000002583,MINI-TORTILLA DE  PAPA 32 X 0.210KG,,,1,CS,6.72,7.17,,16732.27,ARS,0.01,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,1,,,,6.72,7.17,,0.01,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2394979,160,1000002582,MINI TORTILLA DE  ESPINACA 32 X 0.210 KG,,,1,CS,6.72,7.17,,16732.27,ARS,0.01,6207,02/08/2016,,,,,,,,,,,,,,,,,0,2440363,,1,,,,6.72,7.17,,0.01,,,,,0,8059R00160802,,,,,4508A00084295,ZF2,,,,0,0,0,,,0
2398328,10,110A96721,NOISETTE 10X1KG,,,5,CS,50,53.15,,27908.49,ARS,0.07,6207,02/09/2016,,83093614,10,02/09/2016,,,6207,C,,,,,110A96721,NOISETTE 10X1KG,,,5,,,5,,,,50,53.15,,0.07,4915274561,02/10/2016,,,5,,,,,907656194,,,02/10/2016,,,5,50,53.15,,,0.07
2398328,20,110A20801,RONDELLES 12X1KG,,,3,CS,36,38.37,,27908.49,ARS,0.04,6207,02/09/2016,,83093614,20,02/09/2016,,,6207,C,,,,,110A20801,RONDELLES 12X1KG,,,3,,,3,,,,36,38.37,,0.04,4915274561,02/10/2016,,,3,,,,,907656194,,,02/10/2016,,,3,36,38.37,,,0.04
2398328,30,110A23121,HORNEABLES 12X720G,,,3,CS,25.92,27.81,,27908.49,ARS,0.05,6207,02/09/2016,,83093614,30,02/09/2016,,,6207,C,,,,,110A23121,HORNEABLES 12X720G,,,3,,,3,,,,25.92,27.81,,0.05,4915274561,02/10/2016,,,3,,,,,907656194,,,02/10/2016,,,3,25.92,27.81,,,0.05
2398328,40,110A27631,NOISETTE 18X500G,,,10,CS,90,96,,27908.49,ARS,0.13,6207,02/09/2016,,83093614,40,02/09/2016,,,6207,C,,,,,110A27631,NOISETTE 18X500G,,,10,,,10,,,,90,96,,0.13,4915274561,02/10/2016,,,10,,,,,907656194,,,02/10/2016,,,10,90,96,,,0.13
2398328,50,121FZ1111,FUGAZZETA 10X480G,,,1,CS,4.8,5.945,,27908.49,ARS,0.02,6207,02/09/2016,,83093614,50,02/09/2016,,,6207,C,,,,,121FZ1111,FUGAZZETA 10X480G,,,1,,,1,,,,4.8,5.945,,0.02,4915274561,02/10/2016,,,1,,,,,907656194,,,02/10/2016,,,1,4.8,5.945,,,0.02
