NRPD,POIT,MTPD,DSMT,13MT,14MT,CPIT,UMIT,PNIT,PBIT,VOIT,VLIT,MOIT,PLIT,CEIT,FEIT,STIP,ENIT,POEN,FEEN,HREN,CPEN,CTEN,STIT,BQEN,DSBQ,BQFA,DSBF,MTEN,DSEN,13EN,14EN,CPCP,SHID,HSID,CCEN,FECE,HRCE,CPCE,PNCC,PBCC,VOCC,PLCC,ENPG,PGFE,PGHR,PGUS,CDEN,ENRE,REFE,REHR,REUS,ENFA,ENFE,FATY,FAFE,FAHR,FAUS,CTFA,PNFA,PBFA,VOFA,VLFA,PLFA
2390044,20,121JA1111,MOZZARELLA Y JAMON 10X530G,,,1,CS,5.3,6.445,,2106.84,ARS,0.01,6204,02/06/2016,,83084063,20,02/05/2016,,,6204,C,,,,,121JA1111,MOZZARELLA Y JAMON 10X530G,,,1,2425555,,1,,,,5.3,6.445,,0.01,4915212336,02/05/2016,,,1,8161R00008120,,,,907655987,4504A00004671,ZF2,02/05/2016,,,1,5.3,6.445,,,0.01
2390044,30,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,2106.84,ARS,0.01,6204,02/06/2016,,83084063,30,02/05/2016,,,6204,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2425555,,1,,,,4.7,5.6,,0.01,4915212336,02/05/2016,,,1,8161R00008120,,,,907655987,4504A00004671,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390045,10,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,CS,4.44,5.796,,976.66,ARS,0.02,6207,02/06/2016,,83084064,10,02/05/2016,,,6207,C,,,,,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,2424978,,1,,,,4.44,5.796,,0.02,4915208442,02/05/2016,,,1,8059R00160182,,,,907655779,4508A00083725,ZF2,02/05/2016,,,1,4.44,5.796,,,0.02
2390046,10,121MZ14M1,MEDIA MASA MOZZARELLA 12X665G,,,1,CS,7.98,9.42,,799.97,ARS,0.03,6207,02/10/2016,,83084066,10,02/05/2016,,,6207,C,,,,,121MZ14M1,MEDIA MASA MOZZARELLA 12X665G,,,1,2424978,,1,,,,7.98,9.42,,0.03,4915208443,02/05/2016,,,1,8059R00160183,,,,907655783,4508A00083729,ZF2,02/05/2016,,,1,7.98,9.42,,,0.03
2390047,10,121MZ14M1,MEDIA MASA MOZZARELLA 12X665G,,,1,CS,7.98,9.42,,1631.49,ARS,0.03,6207,02/06/2016,,83084067,10,02/05/2016,,,6207,C,,,,,121MZ14M1,MEDIA MASA MOZZARELLA 12X665G,,,1,2425741,,1,,,,7.98,9.42,,0.03,4915213043,02/05/2016,,,1,8059R00160354,,,,907656041,4508A00083898,ZF2,02/05/2016,,,1,7.98,9.42,,,0.03
2390047,20,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,CS,5.18,5.58,,1631.49,ARS,0.02,6207,02/06/2016,,83084067,20,02/05/2016,,,6207,C,,,,,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,2425741,,1,,,,5.18,5.58,,0.02,4915213043,02/05/2016,,,1,8059R00160354,,,,907656041,4508A00083898,ZF2,02/05/2016,,,1,5.18,5.58,,,0.02
2390048,10,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,1274.16,ARS,0.02,6207,02/06/2016,,83084068,10,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208444,02/05/2016,,,1,8059R00160184,,,,907655780,4508A00083726,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390048,20,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,1274.16,ARS,0.01,6207,02/06/2016,,83084068,20,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2424978,,1,,,,4.7,5.6,,0.01,4915208444,02/05/2016,,,1,8059R00160184,,,,907655780,4508A00083726,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390050,10,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,CS,5.18,5.58,,1382.23,ARS,0.02,6207,02/06/2016,,83084069,10,02/05/2016,,,6207,C,,,,,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,2424863,,1,,,,5.18,5.58,,0.02,4915207961,02/05/2016,,,1,8059R00160140,,,,907655732,4508A00083691,ZF2,02/05/2016,,,1,5.18,5.58,,,0.02
2390050,20,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,1382.23,ARS,0.01,6207,02/06/2016,,83084069,20,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2424863,,1,,,,4.7,5.6,,0.01,4915207961,02/05/2016,,,1,8059R00160140,,,,907655732,4508A00083691,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
