TTEN,FETT,HRTT,CPTT,PTTT,TTET,ETDS,ETDR,ETLO,ETCP,ETPA,ETTE,ETCU,ETCD,ETPC,ETMC,ETTC,ETCC,ETUN,UNCH,UNID,UNTC,UNCP,UNCK,UNCV,UNCO,COCU,CONO,COTE,COBN,STTT,FPIN,FRIN,FPIC,FRIC,FPFC,FRFC,FPDE,FRDE,FPIT,FRIT,FPFT,FRFT
2418652,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2418653,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2418656,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2418820,3/2/2016,,,6201,1077334,AB LOGISTICA SA,RODRIGUEZ PENA 2411,MAIPU,5511,AR,,30705171218,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2418951,3/2/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2418954,3/2/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419030,,,,6100,1086265,,,,,,,,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419032,,,,6100,1086265,,,,,,,,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419072,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419074,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419075,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419077,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419093,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419331,,,,6202,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419338,3/2/2016,,,6203,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419339,3/2/2016,,,6204,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419343,3/2/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419345,3/2/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419350,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419353,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419360,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419379,3/2/2016,,,6100,1078852,SALERNO ADRIAN ALEJANDRO,SOLER 2677,MAR DEL PLATA,7600,AR,,20141624491,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419403,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419404,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419405,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419406,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419407,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419408,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419409,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
2419410,3/2/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,
