TTEN,FETT,HRTT,CPTT,PTTT,TTET,ETDS,ETDR,ETLO,ETCP,ETPA,ETTE,ETCU,ETCD,ETPC,ETMC,ETTC,ETCC,ETUN,UNCH,UNID,UNTC,UNCP,UNCK,UNCV,UNCO,COCU,CONO,COTE,COBN,STTT,FPIN,FRIN,FPIC,FRIC,FPFC,FRFC,FPDE,FRDE,FPIT,FRIT,FPFT,FRFT
2419032,,,,6100,1086265,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2421738,,,,6100,1079092,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2422489,,,,6100,1078852,SALERNO ADRIAN ALEJANDRO,SOLER 2677,MAR DEL PLATA,7600,AR,,20141624491,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424793,02/05/2016,,,6257,1007518,NORTH COOL SA,PARQUE INDUSTRIAL  RUTA 34 KM 1135,GENERAL GUEMES,4430,AR,,30711337896,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424863,02/07/2016,,,6207,1006527,TRANSPORTE FURLONG SA,RUTA PANAMERICANA KM 35500,GENERAL PACHECO,1617,AR,,30519071521,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424977,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424978,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424979,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424990,,,,6208,1078443,LUX LOGISTICS SOCIEDAD AN,AV CORDOBA 835 P11 OF 1102 0,CAPITAL FEDERAL,1054,AR,,30709485438,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424991,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2424992,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
