TPPD,ORVT,OFVT,VEVT,NRPD,FEPD,HRPD,CPPD,OCPD,FCOC,FVOC,FPEN,STPD,DSST,DRST,CIST,CPST,TEST,PAST,PYDD,DSPY,BTPD,DSBT,CUBT,SPPD,DSSP,DRSP,CISP,CPSP,TESP,PASP,INSP,RGSP,ZSTP,ICPD,LIPD,PESP,CTSP,DSCT,UNPD,UMPD,PNPD,PBPD,VOPD,VLPD,MOPD,PLPD,STEN
ZOR,AR01,AR01,,2390038,02/05/2016,00/01/1900,,,02/05/2016,,02/10/2016,1000414253,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414253,CARREFOUR 118 MERCADO,,CAPITAL FEDERAL,1018,,,,0,AR-BUE-SMK,DEL,,2,6207,,5,CS,23.72,28.421,,3489.29,ARS,0.08,C
ZOR,AR01,AR01,,2390039,02/05/2016,00/01/1900,,,02/05/2016,,02/10/2016,1000414256,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414256,CARREFOUR 120 EXPRESS BELGRANO,,CAPITAL FEDERAL,1428,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,5.18,5.58,,831.52,ARS,0.02,C
ZOR,AR01,AR01,,2390040,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000414310,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414310,CARREFOUR 6 SALGUERO,,CAPITAL FEDERAL,1425,,,,0,AR-BUE-SMK,DEL,,2,6207,,2,CS,11.24,12.82,,1428.65,ARS,0.04,C
ZOR,AR01,AR01,,2390041,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000414306,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414306,CARREFOUR 5 VELEZ SARFIELD,,CAPITAL FEDERAL,1408,,,,0,AR-BUE-SMK,DEL,,2,6207,,2,CS,9.14,10.94,,1274.16,ARS,0.03,C
ZOR,AR01,AR01,,2390042,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000414264,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414264,CARREFOUR 277 EXPRESS SCALABRINI OR,,CAPITAL FEDERAL,1414,,,,0,AR-BUE-SMK,DEL,,2,6207,,2,CS,9.14,11.396,,1527.37,ARS,0.03,C
ZOR,AR01,AR01,,2390043,02/05/2016,00/01/1900,,,02/05/2016,,02/10/2016,1000414289,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414289,CARREFOUR 162 HIPER TRELEW,,TRELEW,9100,,,,17,AR-SURE-TW,DEL,,2,6203,,1,CS,4.7,5.6,,550.71,ARS,0.01,C
ZOR,AR01,AR01,,2390044,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000414227,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414227,CARREFOUR 147 EXPRESS SANTA ROSA,,SANTA ROSA,6300,,,,21,AR-SURN-SR,DEL,,2,6204,,3,CS,15.18,17.625,,2106.84,ARS,0.04,C
ZOR,AR01,AR01,,2390045,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000414267,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414267,CARREFOUR 150 EXPRESS VIDT,,CAPITAL FEDERAL,1525,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,4.44,5.796,,976.66,ARS,0.02,C
ZOR,AR01,AR01,,2390046,02/05/2016,00/01/1900,,,02/05/2016,,02/10/2016,1000414315,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414315,CARREFOUR 15 SAN MARTIN,,SAN MARTIN,1650,,,,1,AR-BUE-SMK,DEL,,2,6207,,1,CS,7.98,9.42,,799.97,ARS,0.03,C
ZOR,AR01,AR01,,2390047,02/05/2016,00/01/1900,,,02/05/2016,,02/06/2016,1000414345,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414345,CARREFOUR 159 EXPRESS HIPER CORRIEN,,CORRIENTES,3400,,,,4,AR-NEA-COR,DEL,,2,6207,,2,CS,13.16,15,,1631.49,ARS,0.05,C
