TPPD,ORVT,OFVT,VEVT,NRPD,FEPD,HRPD,CPPD,OCPD,FCOC,FVOC,FPEN,STPD,DSST,DRST,CIST,CPST,TEST,PAST,PYDD,DSPY,BTPD,DSBT,CUBT,SPPD,DSSP,DRSP,CISP,CPSP,TESP,PASP,INSP,RGSP,ZSTP,ICPD,LIPD,PESP,CTSP,DSCT,UNPD,UMPD,PNPD,PBPD,VOPD,VLPD,MOPD,PLPD,STEN
ZOR,AR01,AR01,,2394979,02/08/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413712,,,,,,,1000417466,JUMBO RETAIL ARGENTINA S.A.,,,,1000413712,JUMBO 23 ROSARIO,,ROSARIO,2000,,,,12,AR-NEA-RO,DEL,,2,6207,,38,CS,357.32,381.998,,16732.27,ARS,0.48,B
ZOR,AR01,AR01,,2398328,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413770,,,,,,,,,,,,1000413770,DISCO 111 CITY BELL,,CITY BELL,1896,,,,1,AR-BUE-SMK,DEL,,2,6207,,57,CS,548.6,585.955,,27908.49,ARS,0.8,C
ZOR,AR01,AR01,,2398329,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413991,,,,,,,,,,,,1000413991,DISCO 154 MORON 2,,MORON,1708,,,,1,AR-BUE-SMK,DEL,,2,6207,,19,CS,168.92,180.71,,7864.69,ARS,0.23,C
ZOR,AR01,AR01,,2398331,02/09/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413858,,,,,,,,,,,,1000413858,SUPER VEA 706 PTO.MADRYN,,PUERTO MADRYN,9120,,,,17,AR-SURE-MA,DEL,,2,6203,,40,CS,344.54,373.078,,19950.72,ARS,0.59,C
ZOR,AR01,AR01,,2398332,02/09/2016,00/01/1900,,,02/08/2016,,02/08/2016,1000413858,,,,,,,,,,,,1000413858,SUPER VEA 706 PTO.MADRYN,,PUERTO MADRYN,9120,,,,17,AR-SURE-MA,DEL,,2,6203,,3,CS,30,31.53,,1578.03,ARS,0.03,C
ZOR,AR01,AR01,,2398426,02/09/2016,00/01/1900,,,02/09/2016,,02/10/2016,1000414370,,,,,,,,,,,,1000414370,CARREFOUR 217 EXPRESS SAN MIGUEL,,SAN MIGUEL,1663,,,,1,AR-BUE-SMK,DEL,,2,6207,,15,CS,175,183,,3550.55,ARS,0.19,C
ZOR,AR01,AR01,,2398470,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413813,,,,,,,,,,,,1000413813,DISCO 112 BANFIELD,,BANFIELD,1828,,,,1,AR-BUE-SMK,DEL,,2,6207,,36,CS,364.2,388.89,,14483.13,ARS,0.5,C
ZOR,AR01,AR01,,2398595,02/09/2016,00/01/1900,,,02/09/2016,,02/10/2016,1000413579,,,,,,,,,,,,1000413579,LIBERTAD POETA LUGON,,CORDOBA,5000,,,,3,AR-CTRO-CO,DEL,,2,6211,,23,CS,250.1,266.48,,8642.41,ARS,0.33,C
ZOR,AR01,AR01,,2398679,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413765,,,,,,,1000417466,JUMBO RETAIL ARGENTINA S.A.,,,,1000413765,JUMBO 628 SAN FERNANO,,SAN FERNANDO,1646,,,,1,AR-BUE-SMK,DEL,,2,6207,,19,CS,132.88,147.145,,10092.16,ARS,0.25,C
ZOR,AR01,AR01,,2398694,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413367,,,,,,,,,,,,1000413367,COOP.OBRERA 18 ROCA,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,1,CS,15,15.58,,235.89,ARS,0.02,C
ZOR,AR01,AR01,,2398695,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413295,,,,,,,,,,,,1000413295,COOP.OBRERA 92 MAR DEL PLATA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,8,CS,74.76,79.87,,2609.71,ARS,0.1,C
ZOR,AR01,AR01,,2398711,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413779,,,,,,,,,,,,1000413779,SUPER VEA 636 LA PLATA,,LA PLATA,1900,,,,1,AR-BUE-SMK,DEL,,2,6207,,12,CS,122.24,129.83,,6282.03,ARS,0.17,B
ZOR,AR01,AR01,,2398811,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413826,,,,,,,,,,,,1000413826,DISCO 159 MERLO 2,,MERLO,1722,,,,1,AR-BUE-SMK,DEL,,2,6207,,17,CS,176.52,187.81,,5894.2,ARS,0.22,C
ZOR,AR01,AR01,,2398812,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413967,,,,,,,,,,,,1000413967,JUMBO 27 TUCUMAN,,YERBA BUENA,4146,,,,14,AR-NOA-TUC,DEL,,2,6210,,28,CS,370,385.7,,7294,ARS,0.41,C
ZOR,AR01,AR01,,2398876,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413982,,,,,,,,,,,,1000413982,SUPER VEA 698 MONTE GRANDE,,MONTE GRANDE,1842,,,,1,AR-BUE-SMK,DEL,,2,6207,,11,CS,106.96,114.985,,4004.26,ARS,0.15,C
ZOR,AR01,AR01,,2398982,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413333,,,,,,,,,,,,1000413333,COOP: OBRERA 11 V. ROSAS,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,6,CS,50.76,54.46,,1875.36,ARS,0.06,C
ZOR,AR01,AR01,,2398984,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413346,,,,,,,,,,,,1000413346,COOP.OBRERA 51 GRAL. PAZ,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,2,CS,19,20.23,,908.76,ARS,0.02,C
