TPPD,ORVT,OFVT,VEVT,NRPD,FEPD,HRPD,CPPD,OCPD,FCOC,FVOC,FPEN,STPD,DSST,DRST,CIST,CPST,TEST,PAST,PYDD,DSPY,BTPD,DSBT,CUBT,SPPD,DSSP,DRSP,CISP,CPSP,TESP,PASP,INSP,RGSP,ZSTP,ICPD,LIPD,PESP,CTSP,DSCT,UNPD,UMPD,PNPD,PBPD,VOPD,VLPD,MOPD,PLPD,STEN
ZOR,AR01,AR01,,2382722,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414263,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414263,CARREFOUR 275 EXPRESS BELGRANO,,CAPITAL FEDERAL,1426,,,,0,AR-BUE-SMK,DEL,,2,6207,,3,CS,14,06,16,26,,2278,42,ARS,0,06,C
ZOR,AR01,AR01,,2382723,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414237,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414237,CARREFOUR 284 EXPRESS SAN MARTIN,,SAN MARTIN DE LOS ANDES,5570,,,,20,AR-CUYO-MZ,DEL,,2,6201,,1,CS,4,44,5,34,,723,45,ARS,0,02,C
ZOR,AR01,AR01,,2382724,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414307,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414307,CARREFOUR 3 SAN LORENZO,,CAPITAL FEDERAL,1250,,,,0,AR-BUE-SMK,DEL,,2,6207,,2,CS,12,68,15,02,,1350,68,ARS,0,04,C
ZOR,AR01,AR01,,2382726,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414310,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414310,CARREFOUR 6 SALGUERO,,CAPITAL FEDERAL,1425,,,,0,AR-BUE-SMK,DEL,,2,6207,,3,CS,16,44,19,165,,2298,19,ARS,0,05,C
ZOR,AR01,AR01,,2382727,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414358,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414358,CARREFOUR 28 PILAR,,PILAR,1629,,,,1,AR-BUE-SMK,DEL,,2,6207,,1,CS,4,7,5,6,,550,71,ARS,0,01,C
ZOR,AR01,AR01,,2382729,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414304,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414304,CARREFOUR 21 MORENO,,MORENO,1744,,,,1,AR-BUE-SMK,DEL,,2,6207,,5,CS,25,58,30,4,,3556,07,ARS,0,07,C
ZOR,AR01,AR01,,2382730,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414336,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414336,CARREFOUR 22 MAR DEL PLATA - CONSTI,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,3,CS,14,58,16,78,,1932,94,ARS,0,05,C
ZOR,AR01,AR01,,2382731,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414230,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414230,CARREFOUR 289 EXPRESS LUJAN DE CUYO,,LUJAN DE CUYO,5507,,,,7,AR-CUYO-LC,DEL,,2,6201,,3,CS,16,08,18,855,,2570,6,ARS,0,05,C
ZOR,AR01,AR01,,2382732,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414258,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414258,CARREFOUR 220 EXPRESS VILLA URQUIZA,,VILLA URQUIZA,1431,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,4,7,5,6,,550,71,ARS,0,01,C
ZOR,AR01,AR01,,2382733,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414262,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414262,CARREFOUR 214 EXPRESS DEVOTO,,CAPITAL FEDERAL,1417,,,,0,AR-BUE-SMK,DEL,,2,6207,,4,CS,20,04,24,916,,3295,43,ARS,0,06,C
ZOR,AR01,AR01,,2382734,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414279,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414279,CARREFOUR 130 EXPRESS MAR DEL PLATA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,1,CS,4,7,5,6,,550,71,ARS,0,01,C
ZOR,AR01,AR01,,2382735,02/03/2016,00/01/1900,,,02/03/2016,,02/04/2016,1000414328,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414328,CARREFOUR 183 EXPRESS MASCHWITZ,,TIGRE,1623,,,,1,AR-BUE-SMK,DEL,,2,6207,,1,CS,4,7,5,6,,550,71,ARS,0,01,C
