NRPD,POIT,MTPD,DSMT,13MT,14MT,CPIT,UMIT,PNIT,PBIT,VOIT,VLIT,MOIT,PLIT,CEIT,FEIT,STIP,ENIT,POEN,FEEN,HREN,CPEN,CTEN,STIT,BQEN,DSBQ,BQFA,DSBF,MTEN,DSEN,13EN,14EN,CPCP,SHID,HSID,CCEN,FECE,HRCE,CPCE,PNCC,PBCC,VOCC,PLCC,ENPG,PGFE,PGHR,PGUS,CDEN,ENRE,REFE,REHR,REUS,ENFA,ENFE,FATY,FAFE,FAHR,FAUS,CTFA,PNFA,PBFA,VOFA,VLFA,PLFA
2394035,10,110A77451,CORTE TRADICIONAL 12X1KG,,,1,CS,12,12.65,,1962.82,ARS,0.02,6201,02/07/2016,,83088794,10,02/07/2016,,,6201,C,,,,,110A77451,CORTE TRADICIONAL 12X1KG,,,1,2434716,,1,,,,12,12.65,,0.02,4915274427,02/10/2016,,,1,8163R00009835,,,,907656130,4502A00005054,ZF2,02/10/2016,,,1,12,12.65,,,0.02
2394035,20,110A31091,CORTE TRADICIONAL 12X720G,,,4,CS,34.56,37.04,,1962.82,ARS,0.04,6201,02/07/2016,,83088794,20,02/07/2016,,,6201,C,,,,,110A31091,CORTE TRADICIONAL 12X720G,,,4,2434716,,4,,,,34.56,37.04,,0.04,4915274427,02/10/2016,,,4,8163R00009835,,,,907656130,4502A00005054,ZF2,02/10/2016,,,4,34.56,37.04,,,0.04
2394035,30,121MZ1121,MOZZARELLA 10X470G,,,1,CS,4.7,5.845,,1962.82,ARS,0.01,6201,02/07/2016,,83088794,30,02/07/2016,,,6201,C,,,,,121MZ1121,MOZZARELLA 10X470G,,,1,2434716,,1,,,,4.7,5.845,,0.01,4915274427,02/10/2016,,,1,8163R00009835,,,,907656130,4502A00005054,ZF2,02/10/2016,,,1,4.7,5.845,,,0.01
2394979,10,110A96721,NOISETTE 10X1KG,,,5,CS,50,53.15,,16732.27,ARS,0.07,6207,02/08/2016,,83089786,10,02/08/2016,,,6207,B,,,,,110A96721,NOISETTE 10X1KG,,,5,2440363,,5,,,,50,53.15,,0.07,4915304649,02/12/2016,,,5,8059R00160802,,,,907656730,4508A00084295,ZF2,02/12/2016,,,5,50,53.15,,,0.07
2394979,20,110A77451,CORTE TRADICIONAL 12X1KG,,,2,CS,24,25.3,,16732.27,ARS,0.03,6207,02/08/2016,,83089786,20,02/08/2016,,,6207,B,,,,,110A77451,CORTE TRADICIONAL 12X1KG,,,2,2440363,,2,,,,24,25.3,,0.03,4915304649,02/12/2016,,,2,8059R00160802,,,,907656730,4508A00084295,ZF2,02/12/2016,,,2,24,25.3,,,0.03
2394979,30,110A21991,GOLDEN LONGS 12X1KG,,,2,CS,24,25.52,,16732.27,ARS,0.03,6207,02/08/2016,,83089786,30,02/08/2016,,,6207,B,,,,,110A21991,GOLDEN LONGS 12X1KG,,,2,2440363,,2,,,,24,25.52,,0.03,4915304649,02/12/2016,,,2,8059R00160802,,,,907656730,4508A00084295,ZF2,02/12/2016,,,2,24,25.52,,,0.03
2394979,40,110A23121,HORNEABLES 12X720G,,,2,CS,17.28,18.54,,16732.27,ARS,0.03,6207,02/08/2016,,83089786,40,02/08/2016,,,6207,B,,,,,110A23121,HORNEABLES 12X720G,,,2,2440363,,2,,,,17.28,18.54,,0.03,4915304649,02/12/2016,,,2,8059R00160802,,,,907656730,4508A00084295,ZF2,02/12/2016,,,2,17.28,18.54,,,0.03
2394979,50,110A27631,NOISETTE 18X500G,,,3,CS,27,28.8,,16732.27,ARS,0.04,6207,02/08/2016,,83089786,50,02/08/2016,,,6207,B,,,,,110A27631,NOISETTE 18X500G,,,3,2440363,,3,,,,27,28.8,,0.04,4915304649,02/12/2016,,,3,8059R00160802,,,,907656730,4508A00084295,ZF2,02/12/2016,,,3,27,28.8,,,0.04
2394979,60,110A31091,CORTE TRADICIONAL 12X720G,,,3,CS,25.92,27.78,,16732.27,ARS,0.03,6207,02/08/2016,,83089786,60,02/08/2016,,,6207,B,,,,,110A31091,CORTE TRADICIONAL 12X720G,,,3,2440363,,3,,,,25.92,27.78,,0.03,4915304649,02/12/2016,,,3,8059R00160802,,,,907656730,4508A00084295,ZF2,02/12/2016,,,3,25.92,27.78,,,0.03
2394979,70,110A71091,"CORTE TRADICIONAL 10X1,5KG",,,3,CS,45,47.37,,16732.27,ARS,0.05,6207,02/08/2016,,83089786,70,02/08/2016,,,6207,B,,,,,110A71091,"CORTE TRADICIONAL 10X1,5KG",,,3,2440363,,3,,,,45,47.37,,0.05,4915304649,02/12/2016,,,3,8059R00160802,,,,907656730,4508A00084295,ZF2,02/12/2016,,,3,45,47.37,,,0.05
